Longitude,Latitude,annee,diplome,NameOfUni,academie,domaine,discipline,situation,nombre_de_reponses,taux_de_reponse,poids_de_la_discipline,taux_dinsertion,emplois_cadre_ou_professions_intermediaires,emplois_stables,emplois_a_temps_plein,salaire_net_median_des_emplois_a_temps_plein,salaire_brut_annuel_estime,de_diplomes_boursiers,taux_de_chomage_regional,salaire_net_mensuel_median_regional,emplois_cadre,emplois_exterieurs_a_la_region_de_luniversite,femmes,salaire_net_mensuel_regional_1er_quartile,salaire_net_mensuel_regional_3eme_quartile
,,2013,MASTER LMD,Evry Val-d'Essonne France,Versailles,Sciences humaines et sociales,Autres sciences humaines et sociales,18 mois après le diplôme,34,75,10,68,ns,ns,ns,ns,,18,8.8,2070,ns,ns,69,1630,2580
,,2013,MASTER LMD,Evry Val-d'Essonne France,Versailles,"Sciences, technologies et santé",Sciences de la vie et de la terre,30 mois après le diplôme,9,86,3,ns,ns,ns,ns,ns,,18,8.8,2070,ns,ns,ns,1630,2580
,,2013,MASTER LMD,Evry Val-d'Essonne France,Versailles,"Sciences, technologies et santé",Sciences fondamentales,30 mois après le diplôme,8,62,3,ns,ns,ns,ns,ns,,18,8.8,2070,ns,ns,ns,1630,2580
,,2013,MASTER LMD,Evry Val-d'Essonne France,Versailles,"Sciences, technologies et santé",Informatique,30 mois après le diplôme,34,73,11,97,100,91,100,2470,38500,18,8.8,2070,90,3,9,1630,2580
,,2013,MASTER ENS,Paris Ouest Nanterre La Défense France,Versailles,Masters enseignement,Masters enseignement,18 mois après le diplôme,46,70,100,93,90,97,100,1730,27000,,8.8,2070,74,,75,1630,2580
,,2013,MASTER LMD,Paris Ouest Nanterre La Défense France,Versailles,Sciences humaines et sociales,Histoire-géographie,18 mois après le diplôme,24,82,4,ns,ns,ns,ns,ns,,19,8.8,2070,ns,ns,ns,1630,2580
,,2013,MASTER LMD,Paris Ouest Nanterre La Défense France,Versailles,Sciences humaines et sociales,Information communication,18 mois après le diplôme,39,64,7,76,ns,ns,ns,ns,,19,8.8,2070,ns,12,89,1630,2580
,,2013,MASTER LMD,Paris Ouest Nanterre La Défense France,Versailles,"Sciences, technologies et santé",Sciences fondamentales,18 mois après le diplôme,2,33,0,ns,ns,ns,ns,ns,,19,8.8,2070,ns,ns,ns,1630,2580
,,2013,MASTER LMD,Paris Ouest Nanterre La Défense France,Versailles,"Sciences, technologies et santé",Sciences fondamentales,30 mois après le diplôme,2,33,0,ns,ns,ns,ns,ns,,19,8.8,2070,ns,ns,ns,1630,2580
2.3620284,48.91197649999999,2013,MASTER ENS,Paris 13 - Paris Nord France,Créteil,Masters enseignement,Masters enseignement,18 mois après le diplôme,1,33,100,ns,ns,ns,ns,ns,,,8.8,2070,ns,ns,ns,1630,2580
2.3620284,48.91197649999999,2013,MASTER LMD,Paris 13 - Paris Nord France,Créteil,"Droit, économie et gestion",Droit,30 mois après le diplôme,14,55,6,ns,ns,ns,ns,ns,,31,8.8,2070,ns,ns,ns,1630,2580
2.3620284,48.91197649999999,2013,MASTER LMD,Paris 13 - Paris Nord France,Créteil,"Droit, économie et gestion","Autres formations juridiques, économiques et de gestion",18 mois après le diplôme,10,35,4,ns,ns,ns,ns,ns,,31,8.8,2070,ns,ns,ns,1630,2580
2.3620284,48.91197649999999,2013,MASTER LMD,Paris 13 - Paris Nord France,Créteil,"Droit, économie et gestion","Autres formations juridiques, économiques et de gestion",30 mois après le diplôme,10,35,4,ns,ns,ns,ns,ns,,31,8.8,2070,ns,ns,ns,1630,2580
2.3635622,48.9449361,2013,MASTER LMD,Paris 8 - Vincennes Saint-Denis France,Créteil,"Droit, économie et gestion","Ensemble formations juridiques, économiques et de gestion",18 mois après le diplôme,17,51,10,ns,ns,ns,ns,ns,,26,8.8,2070,ns,ns,ns,1630,2580
2.3635622,48.9449361,2013,MASTER LMD,Paris 8 - Vincennes Saint-Denis France,Créteil,"Droit, économie et gestion","Ensemble formations juridiques, économiques et de gestion",30 mois après le diplôme,17,51,10,ns,ns,ns,ns,ns,,26,8.8,2070,ns,ns,ns,1630,2580
2.3635622,48.9449361,2013,MASTER LMD,Paris 8 - Vincennes Saint-Denis France,Créteil,Sciences humaines et sociales,Histoire-géographie,18 mois après le diplôme,24,71,11,ns,ns,ns,ns,ns,,26,8.8,2070,ns,ns,ns,1630,2580
2.3635622,48.9449361,2013,MASTER LMD,Paris 8 - Vincennes Saint-Denis France,Créteil,Sciences humaines et sociales,Information communication,18 mois après le diplôme,38,65,18,78,ns,ns,ns,ns,,26,8.8,2070,ns,27,69,1630,2580
2.3635622,48.9449361,2013,MASTER LMD,Paris 8 - Vincennes Saint-Denis France,Créteil,"Sciences, technologies et santé","Ensemble sciences, technologies et santé",18 mois après le diplôme,6,50,4,ns,ns,ns,ns,ns,,26,8.8,2070,ns,ns,ns,1630,2580
2.3635622,48.9449361,2013,MASTER LMD,Paris 8 - Vincennes Saint-Denis France,Créteil,"Sciences, technologies et santé","Ensemble sciences, technologies et santé",30 mois après le diplôme,6,50,4,ns,ns,ns,ns,ns,,26,8.8,2070,ns,ns,ns,1630,2580
